comments,localized_comment,hinglish,host_name,city,area,sentiment,is_mixed_sentiment,source,original_length,original_word_count,hinglish_word_count,hinglish_length
Host was polite but communication was slow. Room was clean enough.,Host was polite but communication was slow. Room was clean enough.,"Karol Bagh mein stay theek tha, host Riya polite thi lekin communication slow thi, kuch khaas nahi.",Riya,Delhi,Karol Bagh,neutral,True,synthetic,66,11,17,99
"Daniel was very accomodating and friendly. It was a little pricey for what it was. The bed was smaller than a dormitory bed, and as a college student, I would know. The neighborhood seemed relatively safe but I did get hassled a few times outside of the apartment. Overall, I was impressed but I probably would stay closer to the city center in the future.","Rohan was very accomodating and friendly. It was a little pricey for what it was. The bed was smaller than a dormitory bed, and as a college student, I would know. The neighborhood seemed relatively safe but I did get hassled a few times outside of the apartment. Overall, I was impressed but I probably would stay closer to the city center in the future.","""Baner mein Rohan ka stay ekdum acha experience tha, yaar 🙌, budget ke hisaab se thoda pricey, lekin sahi hai, colony ke andar safe lagta hai 👍""",Rohan,Pune,Baner,positive,False,real,356,65,27,144
Noisy neighbors all night. Could not sleep at all.,Noisy neighbors all night. Could not sleep at all.,"Mansarovar mein stay bekar tha, noisy neighbors ki wajah se raat bhar nahi so saka, waste of money tha.",Vikram,Jaipur,Mansarovar,negative,False,synthetic,50,9,19,103
"Daniel's apartment and room was spotless. Daniel was very friendly throughout our correspondence and was even waiting for me outside his place when I arrived (late). The apartment is very convenient to the center of the city, and an easy walk to the transportation stops. Daniel is well prepared for any guest, providing me with maps and bus schedules. I would not hesitate to stay here again. Daniel is wonderful host.","Isha's apartment and room was spotless. Isha was very friendly throughout our correspondence and was even waiting for me outside his place when I arrived (late). The apartment is very convenient to the center of the city, and an easy walk to the transportation stops. Isha is well prepared for any guest, providing me with maps and bus schedules. I would not hesitate to stay here again. Isha is wonderful host.","HSR Layout mein Isha ka apartment ekdum sahi tha, metro ke paas colony ke andar, yaar, but parking nahi thi 🚗😐",Isha,Bangalore,HSR Layout,positive,True,real,419,71,21,110
"Daniel has been more then a great host: it was like having an home in Amsterdam!<br/>If friendliness and kindness were not enough, the house was super clean and he provided all the things needed for our staying: maps, timetables, suggestions and tips, even bicycles! The location is easy to get to and from the station and the city center, 24h/24h connection, with a relaxing and serviced neighborhood. And don't worry, he speaks 5 languages if you mind having communication problems. Hope to find other guest like him in the future!","Siddharth has been more then a great host: it was like having an home in Jaipur!<br/>If friendliness and kindness were not enough, the house was super clean and he provided all the things needed for our staying: maps, timetables, suggestions and tips, even bicycles! The location is easy to get to and from the station and the city center, 24h/24h connection, with a relaxing and serviced neighborhood. And don't worry, he speaks 5 languages if you mind having communication problems. Hope to find other guest like him in the future!","Mansarovar mein Siddharth ka hostel stay ekdum mast experience tha, bhai 🤩. Metro ke paas aur colony ke andar, budget ke hisaab se sahi hai.",Siddharth,Jaipur,Mansarovar,positive,False,real,534,91,25,140
Derk Lottman is an absolute gentleman. he was there when we arrived and introduce us to the boat which is charming and full of character. An absolute delight to stay there. The canal is quiet and charming as is the location. Loved Amsterdam. You must try the Bar moustache. We will be back  ,Arjun Lottman is an absolute gentleman. he was there when we arrived and introduce us to the boat which is charming and full of character. An absolute delight to stay there. The canal is quiet and charming as is the location. Loved Mumbai. You must try the Bar moustache. We will be back  ,"Arjun ka host mast tha, yaar 🙌. Colaba mein, metro ke paas, budget ke hisaab se ekdum sahi hai 😊.",Arjun,Mumbai,Colaba,positive,False,real,291,53,20,97
"We had such a lovely warm and comfortable stay on Derk’s houseboat. The boat is in a great location; it is very close to some main streets and sights in Amsterdam but is on a quiet residential street. We visited all the attractions whilst in Amsterdam and we were able to walk to each one. There are restaurants, cafes, bakeries all close by. The boat is centrally heated so even though it was freezing outside it was lovely and warm inside. The boat as a whole is much more spacious that it appears in the photos and he bed is very comfortable too!! Ill be recommending Derk’s houseboat to anyone I know going to Amsterdam. We will definitely be back to stay!! :)","We had such a lovely warm and comfortable stay on Pooja’s Mumbai. The boat is in a great location; it is very close to some main streets and sights in Mumbai but is on a quiet residential street. We visited all the attractions whilst in Mumbai and we were able to walk to each one. There are restaurants, cafes, bakeries all close by. The boat is centrally heated so even though it was freezing outside it was lovely and warm inside. The boat as a whole is much more spacious that it appears in the photos and he bed is very comfortable too!! Ill be recommending Pooja’s Mumbai to anyone I know going to Mumbai. We will definitely be back to stay!! :)","Andheri mein Pooja ka stay ekdum achha tha, metro ke paas aur colony ke andar, budget ke hisaab se bilkul sahi hai 😊.",Pooja,Mumbai,Andheri,positive,False,real,664,123,23,117
"Room was okay, nothing special but did the job for a short stay.","Room was okay, nothing special but did the job for a short stay.","Tonk Road mein Priya ka stay theek tha, kuch khaas nahi, bas theek theek chalega for a short stay. Okay okay experience, nothing special.",Priya,Jaipur,Tonk Road,neutral,True,synthetic,64,13,24,137
"Daniel was a great host! He made everything so easy for us! The room was super clean and well equipped, the beds were very comfortable! Daniel also gave us good advices,  tips and tools (maps, compass, umbrella..) for getting around the city. The place is located in the quiet neighbourhood so we are away from all the noises, but it is also very close to all the public transportations so getting into the city is fairly easy and fast. I highly recommend Daniele's place!<br/><br/>","Priya was a great host! He made everything so easy for us! The room was super clean and well equipped, the beds were very comfortable! Priya also gave us good advices,  tips and tools (maps, compass, umbrella..) for getting around the city. The place is located in the quiet neighbourhood so we are away from all the noises, but it is also very close to all the public transportations so getting into the city is fairly easy and fast. I highly recommend Daniele's place!<br/><br/>","Priya ka hospitality ekdum sahi hai, bhai 🙌. Baner mein, metro ke paas, colony ke andar, budget ke hisaab se mast room mila. wifi thoda slow tha 😐",Priya,Pune,Baner,positive,True,real,484,86,28,146
Daniel is really cool. The place was nice and clean. Very quiet neighborhood. He had maps and a lonely planet guide book in the room for you to use. I didnt have any trouble finding the place from Central Station. I would defintely come back! Thanks!,Vikram is really cool. The place was nice and clean. Very quiet neighborhood. He had maps and a lonely planet guide book in the room for you to use. I didnt have any trouble finding the place from Central Station. I would defintely come back! Thanks!,"Velachery mein Vikram ka hostel ekdum mast, bilkul thik, colony ke andar, metro ke paas, budget ke hisaab se sahi hai 🙌, wifi thoda slow tha 😐",Vikram,Chennai,Velachery,positive,True,real,250,46,27,142
